Ecotype,Fresh weight,ChlA,ChlB,Protein content,NO3-,Amino acid,Glc,Fru,G6P,Suc,starch,Fum,Mal,FK,GK,nINV,aINV,G6PDH,FBP,FUMARASE,iRub,mRub,SPS,UGP,PGM,cPGI,tPGI,pPGI,AGP,NRVs,NRVm
8296,0.318,1.412,0.323,13.076,115.367,22.196,1.875,3.662,200.542,1.463,54.265,15.59,5.717,306.33,482.54,185.88,748.29,476.01,178.4743827,1505.08,4968.87,5694.39,273.71,9323.62,11114.15,920.85,1423.43,502.58,1941.26,252.02,423.79
5987,0.32,1.279,0.303,13.041,115.818,23.8,5.232,2.042,265.016,1.85,68.706,19.919,10.894,152.585,370.69,229.01,921.93,601.725,166.625,3147.735,5470.295,6028.725,192.4316284,6901.58,8393.905,842.375,1099.705,257.33,1767.275,279.555,436.78
5207,0.32,1.273,0.334,11.959,140.094,31.846,1.949,1.311,240.787,1.43,20.363,6.416,9.549,181.325,279.455,122.555,453.37,596.41,147.08,2123.615,2727.815,4184.85,240.92,7518.23,7964.545,694.86,910.235,215.375,1048.91,274.705,544.125
7165,0.322,1.241,0.341,11.898,121.185,21.418,3.881,2.761,258.967,1.806,34.128,9.943,7.385,94.39,140.59,152.485,757.195,148.185,133.445,1789.03,1745.245,3231.155,125.315,3853.07,4838.07,388.09,570.035,181.945,429.335,127.385,300.18
6243,0.323,1.278,0.326,10.743,127.637,22.034,2.551,2.894,154.859,1.528,43.052,14.149,6.814,151.67,108.62,197.61,699.69,356.705,154.395,2867.705,3098.775,2928.53,192.4316284,7385.635,4903.945,384.775,668.28,283.505,1212.68,210.73,344.88
7141,0.324,1.257,0.31,10.288,116.263,15.675,4.87,3,266.083,2.13,41.153,17.554,8.414,120.395,259.55,104.415,643.885,445.575,141.13,2626.49,2693.405,3331.64,227.07,5874.425,7328.835,539.295,888.955,349.66,1013.405,227.475,348.595
7296,0.324,1.21,0.294,11.963,131.124,24.541,1.835,2.219,237.085,1.862,39.385,9.119,7.599,296.065,322.63,196.345,600.895,766.03,146.84,5717.76,4156.11,4480.075,145.01,6606.495,7383.255,544.66,1058.155,513.495,863.635,234.29,448.655
5245,0.325,1.12,0.306,10.501,153.618,22.992,3.248,2.046,142.827,1.689,55.095,10.097,5.42,133.375,345.98,86.85,532.11,452.125,392.95,1770.565,2675.51,3557.975,103.23,5919.585,4444.07,533.31,690.225,156.915,878.095,187.26,343.17
8236,0.326,1.312,0.321,12.699,108.156,18.132,4.534,2.801,218.653,2.2,65.098,16.811,8.029,164.91,405.455,123.54,543.075,384.7,173.65,4354.6,4685.415,5830.38,190.37,7406.77,8559.98,1078.63,1394.66,316.03,1705.98,352.765,543.995
7255,0.328,1.321,0.326,12.297,118.035,20.219,6.327,4.049,203.889,1.044,32.903,15.142,6.907,100.255,225.105,199.045,726.95,533.51,264.405,3555.715,6465.72,6205.385,192.4316284,9646.78,9954.78,835.48,1310.565,475.085,1519.38,201.855,426.79
6959,0.328,1.22,0.292,12.618,130.556,26.951,4.68,3.953,197.169,1.551,28.09,8.273,9.243,303.915,202.02,165.79,617.08,457.29,145.45,2713.54,4371.21,6257.355,192.4316284,7389.72,9148.02,756.38,1073.585,317.205,1531.255,213.8,394.33
7231,0.33,1.196,0.338,12.675,112.425,28.917,2.443,3.262,309.615,2.791,23.976,11.454,12.416,239.325,225.04,124.83,394.97,588.075,114.93,2542.755,4253.38,3840.655,257.05,6118.32,7513.66,617.755,984.485,366.73,1004.19,176.54,382.37
5628,0.33,1.226,0.326,11.061,125.287,21.002,7.611,2.049,223.715,3,46.925,16.268,6.98,157.88,183.9,135.65,660.3,482.08,240.32,2596.11,3768.21,5251.04,192.4316284,6648.48,7887.37,659.18,981.89,322.71,945.5,268.3,473.99
6008,0.332,1.258,0.299,11.741,121.149,25.526,3.609,3.158,154.709,1.263,56.331,15.094,9.452,199.045,184.555,147.515,566.36,429.285,233.9,3301.75,4706.55,3713.895,192.4316284,8219.865,5112.54,517.045,724.015,206.97,1678.88,155.965,265.82
